ids,gensec,editor-in-chief,guest,country,date
84,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Восковський, Владімеж",Poland,1986-09-11T00:00:00
85,M. S. Gorbachev (1985 - 1991),Korotych V. (1978-1986),"Вуїчич, Марієта",Hungary,1986-04-01T00:00:00
86,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Вулевич, Чедо",Yugoslavia,1988-08-05T00:00:00
87,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Вулевич, Чедо",Yugoslavia,1988-12-12T00:00:00
88,M. S. Gorbachev (1985 - 1991),Korotych V. (1978-1986),"Гааг, Фолькер",Federal Republic of Germany,1986-04-23T00:00:00
89,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Габе, Дора",Bulgaria,1969-12-31T00:00:00
90,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гавеші, Маріан",Czechoslovak Socialist Republic(Slovakia),1976-09-30T00:00:00
91,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гаврилишин, Богдан",Switzerland,1990-03-06T00:00:00
92,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Галіс, Адам",Poland,1968-12-31T00:00:00
93,Y. V. Andropov (1982 - 1984),Korotych V. (1978-1986),"Гангопадх’яі, Суніл(Галготі)",India,1983-05-10T00:00:00
94,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гарасим, Василь",Canada,1987-12-22T00:00:00
95,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гарма, Джорджійн",Mongolia,1988-08-26T00:00:00
96,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гарре, Таісто",Finland,1975-11-30T00:00:00
97,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гарсіа Ронда, Денія",Cuba,1988-07-13T00:00:00
98,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гаузер, Арнольд",German Democratic Republic,1977-11-23T00:00:00
99,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Гауптман, Гельмут",German Democratic Republic,1969-12-31T00:00:00
100,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гаф-Елбертс, Джо-Енн",USA,1991-12-31T00:00:00
101,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),Ге Баоцюань,China,1987-01-04T00:00:00
102,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),Ге Сяодун,China,1987-01-04T00:00:00
103,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Геберт, Елсі С.",USA,1991-12-31T00:00:00
104,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гебнер, Рольф",German Democratic Republic,1978-05-26T00:00:00
105,L. I. Brezhnev (1964 - 1982),Korotych V. (1978-1986),"Гебнер, Рольф",German Democratic Republic,1981-07-10T00:00:00
