,year,source,target
229,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
230,,,
231,,,
232,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
233,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
234,,,
235,,,
236,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
237,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
238,,,
239,,,
240,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
241,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
242,,,
243,,,
244,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
245,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
246,,,
247,,,
248,1991.0,M. S. Gorbachev (1985 - 1991),Argentina
249,1991.0,Argentina,"Касарес, Адольфо Біой"
250,1991.0,M. S. Gorbachev (1985 - 1991),Argentina
251,1991.0,Argentina,"Касарес, Адольфо Біой"
252,1991.0,M. S. Gorbachev (1985 - 1991),Argentina
253,1991.0,Argentina,"Касарес, Адольфо Біой"
254,1991.0,M. S. Gorbachev (1985 - 1991),Argentina
255,1991.0,Argentina,"Касарес, Адольфо Біой"
256,1991.0,M. S. Gorbachev (1985 - 1991),Argentina
257,1991.0,Argentina,"Касарес, Адольфо Біой"
258,1991.0,M. S. Gorbachev (1985 - 1991),Argentina
259,1991.0,Argentina,"Касарес, Адольфо Біой"
260,1990.0,M. S. Gorbachev (1985 - 1991),Argentina
261,1990.0,Argentina,"Касерес, Херман"
262,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
263,1989.0,Argentina,"Кортасар, Хуліо"
264,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
265,1989.0,Argentina,"Кортасар, Хуліо"
266,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
267,1989.0,Argentina,"Кортасар, Хуліо"
268,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
269,1989.0,Argentina,"Кортасар, Хуліо"
270,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
271,1989.0,Argentina,"Кортасар, Хуліо"
272,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
273,1989.0,Argentina,"Кортасар, Хуліо"
274,1981.0,L. I. Brezhnev (1964 - 1982),Argentina
275,1981.0,Argentina,"Кортасар, Хуліо"
276,,,
277,,,
278,,,
279,,,
280,1981.0,L. I. Brezhnev (1964 - 1982),Argentina
281,1981.0,Argentina,"Кортасар, Хуліо"
282,,,
283,,,
284,,,
285,,,
286,1981.0,L. I. Brezhnev (1964 - 1982),Argentina
287,1981.0,Argentina,"Кортасар, Хуліо"
288,,,
289,,,
290,,,
291,,,
292,1981.0,L. I. Brezhnev (1964 - 1982),Argentina
293,1981.0,Argentina,"Кортасар, Хуліо"
294,,,
295,,,
296,,,
297,,,
298,1981.0,L. I. Brezhnev (1964 - 1982),Argentina
299,1981.0,Argentina,"Кортасар, Хуліо"
300,,,
301,,,
302,,,
303,,,
304,1981.0,L. I. Brezhnev (1964 - 1982),Argentina
305,1981.0,Argentina,"Кортасар, Хуліо"
306,,,
307,,,
308,,,
309,,,
310,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
311,1989.0,Argentina,"Кортасар, Хуліо"
312,1976.0,L. I. Brezhnev (1964 - 1982),Argentina
313,1976.0,Argentina,"Кортасар, Хуліо"
314,1983.0,Y. V. Andropov (1982 - 1984),Argentina
315,1983.0,Argentina,"Костантіні, Умберто"
316,,,
317,,,
318,1958.0,N. S. Khrushchev (1953 - 1964),Argentina
319,1958.0,Argentina,"Куссані, Агустін"
320,,,
321,,,
322,1959.0,N. S. Khrushchev (1953 - 1964),Argentina
323,1959.0,Argentina,"Ларра, Рауль"
324,,,
325,,,
326,1987.0,M. S. Gorbachev (1985 - 1991),Argentina
327,1987.0,Argentina,"Мартіні, Хуан Карлос"
328,1988.0,M. S. Gorbachev (1985 - 1991),Argentina
329,1988.0,Argentina,"Молінарі, Рікардо Е."
330,1985.0,M. S. Gorbachev (1985 - 1991),Argentina
331,1985.0,Argentina,"Оргамбіде, Педро"
332,1985.0,M. S. Gorbachev (1985 - 1991),Argentina
333,1985.0,Argentina,"Оргамбіде, Педро"
334,1985.0,M. S. Gorbachev (1985 - 1991),Argentina
335,1985.0,Argentina,"Оргамбіде, Педро"
336,1983.0,Y. V. Andropov (1982 - 1984),Argentina
337,1983.0,Argentina,"Соррентіно, Фернандо"
338,1989.0,M. S. Gorbachev (1985 - 1991),Afghanistan
339,1989.0,Afghanistan,"Абар, Мір"
340,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
341,1983.0,Afghanistan,"Зіяр, Муджавар Ахмад"
342,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
343,1983.0,Afghanistan,"Кавім, Каюм"
344,1986.0,M. S. Gorbachev (1985 - 1991),Afghanistan
345,1986.0,Afghanistan,"Лаєк, Сулейман"
346,1986.0,M. S. Gorbachev (1985 - 1991),Afghanistan
347,1986.0,Afghanistan,"Нагібі, Абдулла"
348,,,
349,,,
350,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
351,1983.0,Afghanistan,"Назімі, Латіф"
352,1979.0,L. I. Brezhnev (1964 - 1982),Afghanistan
353,1979.0,Afghanistan,"Таракі, Нур Мухаммед"
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
361,1983.0,Afghanistan,"Туфані, Сиддик Кавун"
362,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
363,1983.0,Afghanistan,"Хабіб, Асадулла"
364,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
365,1983.0,Afghanistan,"Хабіб, Асадулла"
366,1988.0,M. S. Gorbachev (1985 - 1991),Afghanistan
367,1988.0,Afghanistan,"Хабіб, Кадир"
368,1967.0,L. I. Brezhnev (1964 - 1982),Afghanistan
369,1967.0,Afghanistan,"Хадем, Кіямуддін"
370,1983.0,Y. V. Andropov (1982 - 1984),Afghanistan
371,1983.0,Afghanistan,"Хусейні, Рафат"
372,1983.0,Y. V. Andropov (1982 - 1984),Bangladesh
373,1983.0,Bangladesh,"Бхоттачарджо, Шуканто"
374,1983.0,Y. V. Andropov (1982 - 1984),Bangladesh
